municipality,year,Aplusplus,Aplus,A,B,C,D,E,F,G,unlabeled,percentage_houses_with_valid_labels,number_of_houses,average_house_worth,houses_per_hectare,total_natural_gas_used,total_electricity_used,households,people,CO2_production_houses,number_of_labels,houses_rented,houses_privately_owned
Aa en Hunze,2011,2,2,84,396,952,234,113,51,19,8944,17.2,10797,262,0.39,23230000,38170000,11155,25785,58336,1853,3131,7557
Aa en Hunze,2012,5,9,152,514,1046,274,130,53,19,8603,20.4,10805,255,0.39,22930000,37460000,11220,25740,58599,2202,3204,8334
Aa en Hunze,2013,5,11,165,592,1137,330,147,61,20,8746,22,11214,240,0.41,22950000,38570000,11180,25540,59541,2468,3023,7963
Aa en Hunze,2014,5,19,195,651,1246,342,157,73,22,8463,24.3,11173,225,0.4,22040000,36730000,10905,25355,57711,2710,3110,7894
Aa en Hunze,2015,5,19,274,747,1396,416,193,107,69,7924,28.9,11150,217,0.4,21070000,35700000,10865,25203,56600,3226,3112,7868
Aa en Hunze,2016,5,19,344,799,1501,472,217,151,119,7504,32.6,11131,218,0.4,21290000,34920000,10905,25243,55175,3627,3045,7915
Aa en Hunze,2017,5,19,406,912,1653,549,259,194,184,6964,37.5,11145,223,0.4,20840000,34280000,10990,25286,52746,4181,3092,7880
Aa en Hunze,2018,5,19,552,929,1347,559,283,223,231,7017,37.2,11165,229,0.4,20900000,33470000,11075,25390,51826,4148,2839,8157
Aa en Hunze,2019,5,19,802,1012,1489,626,257,233,268,6546,41.8,11257,246,0.41,20480000,32540000,11150,25386,48714,4711,2898,8342
Aa en Hunze,2008,0,0,20,113,424,80,17,11,8,9963,6.3,10636,255,0.39,24000000,37580000,10670,25600,61142,673,0,0
Aa en Hunze,2009,0,0,38,176,595,96,63,32,8,9641,9.5,10649,263,0.39,23620000,37120000,10780,25680,59858,1008,2982,7562
Aa en Hunze,2010,0,0,58,211,640,119,70,35,11,9619,10.6,10763,264,0.39,23880000,38280000,10830,25565,60298,1144,3230,7536
Aalsmeer,2009,0,0,11,198,466,490,134,81,12,9886,12.3,11278,307,5.61,19580000,39310000,11460,28010,53715,1392,4286,6881
Aalsmeer,2010,0,0,11,203,475,493,137,82,12,10328,12,11741,313,5.84,19520000,41530000,11950,29185,54011,1413,4461,7161
Aalsmeer,2011,0,0,11,208,476,498,139,83,12,10337,12.1,11764,311,5.85,18870000,42040000,12315,30190,52235,1427,4353,7177
Aalsmeer,2012,0,0,12,221,485,511,149,84,12,10346,12.5,11820,304,5.87,17780000,40780000,12350,30365,50957,1474,4340,7857
Aalsmeer,2013,0,0,14,232,508,525,154,85,15,10821,12.4,12354,292,6.14,18230000,42100000,12450,30615,52807,1533,4388,7911
Aalsmeer,2014,0,0,21,286,614,560,172,87,15,11025,13.7,12780,276,6.35,18950000,41870000,12520,30760,54756,1755,4466,8056
Aalsmeer,2015,0,0,312,357,761,608,203,108,56,10398,18.8,12803,276,6.36,18190000,41360000,12670,31077,54438,2405,4443,8103
Aalsmeer,2016,0,0,571,407,942,696,233,129,93,9822,23.8,12893,269,6.41,18040000,40970000,12830,31299,52338,3071,4490,8134
Aalsmeer,2017,0,0,795,474,1078,784,290,175,120,9203,28.8,12919,294,6.42,17920000,39870000,12965,31373,50028,3716,4516,8158
Aalsmeer,2018,0,0,1240,558,1151,774,305,186,141,8533,33.8,12888,304,6.41,17880000,38540000,12975,31499,48595,4355,4382,8262
Aalsmeer,2019,0,0,1546,437,873,428,261,140,154,9252,29.3,13091,344,6.51,17970000,38520000,13090,31728,46440,3839,4629,8458
Aalsmeer,2008,0,0,0,2,23,28,4,2,1,10376,0.6,10436,301,5.19,18040000,35880000,10860,26390,49692,60,0,0
Aalten,2013,1,2,208,319,543,719,261,77,26,9295,18.8,11451,210,1.19,18030000,36660000,11210,27080,49833,2156,3384,8042
Aalten,2014,18,5,220,343,555,740,284,89,31,9402,19.6,11687,194,1.21,17790000,36450000,11205,27010,49973,2285,3401,8102
Aalten,2015,18,5,286,492,885,840,330,126,73,8720,25.9,11775,187,1.22,17360000,35270000,11155,26904,49729,3055,3417,8162
Aalten,2016,18,5,361,567,1035,932,396,175,130,8192,30.6,11811,185,1.22,17100000,34560000,11235,26912,47515,3619,3414,8198
Aalten,2017,18,5,423,610,1298,1016,451,208,195,7648,35.6,11872,0,1.23,17700000,33400000,11300,27047,46738,4224,3418,8262
